gene	fold_change, E5.5/E4.0
Mpp6	3.906700562493413
Dfna5	6.074517880546716
Osbpl3	5.006082422515501
Cycs	8.15979381443299
5430402O13Rik	4.621349963316214
4921507P07Rik	4.699753039513679
Npvf	6.849999999999999
C530044C16Rik	2.9145495479703247
Mir148a	0.0
Gm6559	4.508474576271187
Nfe2l3	4.624537872925802
Hnrnpa2b1	8.372623574144486
Cbx3	5.786088852861212
Snx10	7.93166254662707
Skap2	4.116220617593454
Halr1	37.9
Hotairm1	2.0
Hoxa2	9.333333333333332
Hoxaas2	1.666666666666667
Hoxa3	3.132570162481536
Hoxa4	11.833333333333336
Hoxaas3	2.2535714285714286
Hoxa5	5.866666666666667
Hoxa6	9.000000000000009
Hoxa7	1.875
Hoxa9	4.522727272727273
Mir196b	0.0
Hoxa10	2.1529051987767582
Hoxa11	1.0
Hoxa11os	5.666666666666668
Hoxa13	2.0
Hottip	2.5217391304347827
Evx1os	2.3414634146341466
Evx1	1.0952380952380953
1700094M24Rik	6.802469135802468
Hibadh	3.7730317585574205
Tax1bp1	3.2171799266843553
Jazf1	4.5691880994674
Gm4872	35.4
9430076C15Rik	6.3169516281467475
Creb5	6.398777463913716
Tril	2.1250000000000004
Cpvl	5.275542434267824
4921529L05Rik	6.434454168585907
Chn2	3.786280496473353
9130019P16Rik	5.522971180954205
Prr15	14.0
Wipf3	9.373966942148762
Scrn1	9.608055684454756
Fkbp14	4.027524714091877
Plekha8	5.5884536539420475
Mturn	12.827449257534486
Znrf2	6.065112598196103
Nod1	7.264834938304326
Ggct	4.818476499189627
Gars	4.4553402646502835
Crhr2	4.951857075693466
Inmt	3.925925925925926
Fam188b	3.6005225799725613
Aqp1	6.260869565217391
Ghrhr	6.888888888888889
6430584L05Rik	41.26666666666668
Adcyap1r1	3.300786998528377
Neurod6	3.033333333333333
Gm3279	10.295358649789028
Ccdc129	5.649257930331927
Ppp1r17	20.066666666666663
Pde1c	3.312378996628679
Lsm5	4.956140350877193
Avl9	4.0416813671198115
Kbtbd2	9.532550450347735
Fkbp9	6.0778750759263
Nt5c3	5.248318804483189
Vmn1r4	0.8
Vmn1r5	0.75
Vmn1r7	1.0714285714285716
Vmn1r8	6.7499999999999964
Vmn1r11	2.2499999999999987
Vmn1r13	2.5
Vmn1r14	2.4166666666666665
Vmn1r15	3.0
Ppm1k	3.830265884921567
Herc6	3.921636702009406
Pyurf	2.5050847457627117
Lancl2	3.7391304347826075
Vopp1	7.068942276283538
Vmn1r27	0.6666666666666666
Vmn1r29	1.0
Vmn1r30	4.0
Abcg2	6.042874909457023
Herc3	2.8862208174484887
Nap1l5	0.7692307692307693
Fam13a	6.2394953254839685
Tigd2	1.8951612903225803
Gprin3	11.353540587219344
