gene	fold_change, E5.5/E4.0
Mpp6	2.849144510876479
Dfna5	4.31040997543926
Osbpl3	4.426348831131807
Cycs	7.212121212121212
5430402O13Rik	2.861019577437488
4921507P07Rik	3.9000000000000004
Npvf	3.34855403348554
C530044C16Rik	2.1199055538445744
Mir148a	0.0
Gm6559	2.1923859343214183
Nfe2l3	4.148133470714115
Hnrnpa2b1	3.470052083333333
Cbx3	5.925311203319503
Snx10	5.070666443215463
Skap2	2.7
Halr1	16.538551401869157
Hotairm1	6.838709677419355
Hoxa2	2.9647058823529413
Hoxaas2	2.9690721649484537
Hoxa3	2.034792731035375
Hoxa7	1.0982142857142856
Hoxa9	3.5710843373493977
Mir196b	0.0
Hoxa10	0.8096249115357396
Hoxa11	0.7359550561797753
Hoxa11os	5.435643564356435
Hoxa13	1.8199999999999998
Hottip	1.5161744022503516
Evx1os	1.8782771535580522
Evx1	0.2181208053691275
1700094M24Rik	4.1063174114021574
Hibadh	2.7701148251062437
Tax1bp1	2.772766058778005
Jazf1	2.643251192092165
Gm4872	22.28125
9430076C15Rik	4.968851063829788
Creb5	4.532062410426976
Tril	2.331081081081081
Cpvl	4.112555826898114
4921529L05Rik	4.507246376811595
Chn2	2.6999250782078357
9130019P16Rik	2.7175548087694033
Wipf3	6.03397341211226
Scrn1	6.902019546887931
Fkbp14	2.9467181467181467
Plekha8	3.1908289730071906
Mturn	8.654718137254903
Znrf2	4.927272727272728
Nod1	5.338764823656246
Ggct	4.471631205673759
Gars	2.724544170518747
Crhr2	5.120199146514936
Inmt	5.133333333333333
Fam188b	2.456612685560054
Aqp1	7.067215363511659
Ghrhr	5.75098814229249
6430584L05Rik	15.66536964980545
Adcyap1r1	2.4053843759726115
Neurod6	5.230769230769231
Gm3279	6.291128337639965
Ccdc129	3.724522011961957
Ppp1r17	13.74841972187105
Pde1c	2.440365905227387
Lsm5	2.845528455284553
Avl9	2.4264039408866993
Kbtbd2	5.612735995047973
Fkbp9	2.9323589032326893
Nt5c3	3.0898581187598526
Vmn1r4	0.9000000000000001
Vmn1r5	1.5
Vmn1r7	0.8333333333333334
Vmn1r8	6.176470588235294
Vmn1r11	1.0
Vmn1r13	0.8571428571428571
Vmn1r14	0.8095238095238095
Vmn1r15	5.000000000000001
Ppm1k	2.8493575207860924
Herc6	3.3592110685201164
Pyurf	1.5320427236315086
Lancl2	2.6431393052166845
Vopp1	4.441924528301887
Vmn1r27	6.0
Vmn1r29	1.2
Vmn1r30	4.0
Abcg2	3.4332816508555584
Herc3	2.2256633447478986
Fam13a	4.53603335318642
Tigd2	2.7662835249042144
Gprin3	5.6468174136959846
